;Unnamed: 0;img_artiste;url_img_taille_adaptee;url_redir;url_img_secours;artiste;lieu;even_streaming;titre;loc;icone_epingle;url_even;url_artiste;txt_watch_live;est_plus;txt_redir;RSVP;RSVP_int;horaire_debut;horaire_fin;fuseau;regle_affichage;locale;latitude;longitude;weekend_vdd_soir;artiste_provenance
614;614;https://photos.bandsintown.com/thumb/122280.jpeg;https://media.bandsintown.com/110x110/122280.webp;https://www.bandsintown.com/e/1030133189-the-forecast-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.png;The Forecast;Las Vegas Festival Grounds;False;When We Were Young 2024;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1030133189-the-forecast-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/1840-the-forecast?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;33;33;2024-10-19 11:00:00;;America/Los_Angeles;datetime;en;36.1420022;-115.16235229022962;1;
669;669;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.webp;https://www.bandsintown.com/e/1032449239-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032449239-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-19 20:00:00;;America/Los_Angeles;datetime;en;;;1;
706;706;https://photos.bandsintown.com/thumb/16321470.jpeg;https://media.bandsintown.com/110x110/16321470.webp;https://www.bandsintown.com/e/105975945-alleykat-at-area15?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;alleykat;AREA15;False;Church of Bass;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105975945-alleykat-at-area15?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15517625-alleykat?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-19 22:00:00;;America/Los_Angeles;datetime;en;-13.96101625;33.76950792327203;1;
716;716;https://photos.bandsintown.com/thumb/12406016.jpeg;https://media.bandsintown.com/110x110/12406016.webp;https://www.bandsintown.com/e/1031630181-savi-at-zouk-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;SAVI;Zouk Nightclub;False;ZOUK LAS VEGAS;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1031630181-savi-at-zouk-nightclub?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/2214133-savi?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-19 23:00:00;;America/Los_Angeles;datetime;en;;;1;
730;730;https://photos.bandsintown.com/thumb/8625600.jpeg;https://media.bandsintown.com/110x110/8625600.webp;https://www.bandsintown.com/e/104934889-the-wonder-years-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png;The Wonder Years;Las Vegas Festival Grounds;False;When We Were Young 2024;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/104934889-the-wonder-years-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/40795-the-wonder-years?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;17;17;2024-10-20 11:00:00;;America/Los_Angeles;datetime;en;36.1420022;-115.16235229022962;1;
742;742;https://photos.bandsintown.com/thumb/12824403.jpeg;https://media.bandsintown.com/110x110/12824403.webp;https://www.bandsintown.com/e/1032451437-lance-roark-at-downtown-las-vegas-events-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Lance Roark;Downtown Las Vegas Events Center;False;Giddy Up Festival;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032451437-lance-roark-at-downtown-las-vegas-events-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/14880876-lance-roark?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;1;1;2024-10-20 13:00:00;2024-10-20T23:30:00;America/Los_Angeles;datetime;en;36.1687163;-115.14464085;1;
766;766;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.webp;https://www.bandsintown.com/e/1032449869-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032449869-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-20 20:00:00;;America/Los_Angeles;datetime;en;;;1;
773;773;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.webp;https://www.bandsintown.com/e/1032071661-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;Stars Of Comedy;Harrah's Las Vegas;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032071661-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/6111495-stars-of-comedy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-20 21:30:00;;America/Los_Angeles;datetime;en;36.1193033;-115.17116250031411;1;
801;801;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.webp;https://www.bandsintown.com/e/1032069854-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png;Stars Of Comedy;Harrah's Las Vegas;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032069854-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/6111495-stars-of-comedy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-21 21:30:00;;America/Los_Angeles;datetime;en;36.1193033;-115.17116250031411;0;
802;802;https://photos.bandsintown.com/thumb/17499519.jpeg;https://media.bandsintown.com/110x110/17499519.webp;https://www.bandsintown.com/e/105985661-dez-hoston-and-the-longwood-band-at-ole-red-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;Dez Hoston & The Longwood Band;Ole Red Las Vegas;False;Ole Red Las Vegas;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105985661-dez-hoston-and-the-longwood-band-at-ole-red-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15508304-dez-hoston-and-the-longwood-band?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-21 22:00:00;;America/Los_Angeles;datetime;en;;;0;
